StockCode,Avg_Daily_Demand,Std_Daily_Demand,Max_Daily_Demand,Min_Daily_Demand,Active_Days,Description,Avg_UnitPrice,Total_Revenue,Safety_Stock,Reorder_Point,EOQ,Days_Coverage,Revenue_Cumsum_Pct,ABC_Category,Stock_Risk
M,25.541114058355436,126.33796296017196,1686,1,377,Manual,394.31801418439716,339226.24,550.0,729.0,97.0,3.8,7.609792011039948,A — Critical,🟢 LOW RISK
22423,51.5136186770428,53.79030117344521,432,1,514,REGENCY CAKESTAND 3 TIER,14.190417721518987,330590.32,234.0,595.0,728.0,14.1,15.025856216636605,A — Critical,🟢 LOW RISK
DOT,3.2086167800453516,3.652772065729307,26,1,441,DOTCOM POSTAGE,218.9781696113074,309854.11,16.0,38.0,46.0,14.4,21.976749316374093,A — Critical,🟢 LOW RISK
85123A,156.22388059701493,214.70998277797258,3114,3,603,WHITE HANGING HEART T-LIGHT HOLDER,3.0761749228815094,257724.71,934.0,2028.0,2723.0,17.4,27.7582343783952,A — Critical,🟢 LOW RISK
85099B,164.27334465195247,181.8537808367223,1583,1,589,JUMBO BAG RED WHITE SPOTTY ,2.330321622958931,180569.34,791.0,1941.0,3208.0,19.5,31.808908998880803,A — Critical,🟢 LOW RISK
23843,80995.0,0.0,80995,80995,1,"PAPER CRAFT , LITTLE BIRDIE",2.08,168469.6,0.0,566965.0,75400.0,0.9,35.58815265698666,A — Critical,🔴 HIGH RISK
47566,52.125693160813306,64.44913947741856,385,1,541,PARTY BUNTING,5.718177449168207,148318.28,280.0,645.0,1154.0,22.1,38.91534592551207,A — Critical,🟢 LOW RISK
84879,137.5979381443299,240.51744962845393,3359,1,582,ASSORTED COLOUR BIRD ORNAMENT,1.8590344101123595,129324.49,1047.0,2010.0,3287.0,23.9,41.81645543530063,A — Critical,🟢 LOW RISK
POST,10.433852140077821,8.405912123105363,83,1,514,POSTAGE,29.466515397082656,125682.42,37.0,110.0,227.0,21.8,44.6358631428063,A — Critical,🟢 LOW RISK
22086,114.65359477124183,176.96057985636463,1167,1,306,PAPER CHAIN KIT 50'S CHRISTMAS ,3.3699274661508705,117760.29000000001,770.0,1573.0,2229.0,19.4,47.277555348160895,A — Critical,🟢 LOW RISK
23166,624.264,6635.405617744854,74215,1,125,MEDIUM CERAMIC TOP STORAGE JAR,1.46848,81700.92000000001,28879.0,33249.0,7878.0,12.6,49.110335171769506,A — Critical,🟢 LOW RISK
79321,36.41609195402299,65.8967508159706,650,1,435,CHILLI LIGHTS,6.290666082383875,80540.88,287.0,542.0,919.0,25.2,50.91709205822418,A — Critical,🟢 LOW RISK
22197,157.1918294849023,355.67687783687296,4314,1,563,"POPCORN HOLDER , SMALL ",1.0331487743026204,79520.2,1548.0,2648.0,4713.0,30.0,52.70095224155287,A — Critical,🟢 LOW RISK
22386,73.43947858472998,96.50605389577169,942,1,537,JUMBO BAG PINK WITH WHITE SPOTS,2.4137373292199205,76324.62,420.0,934.0,2108.0,28.7,54.41312664033069,A — Critical,🟢 LOW RISK
84347,122.21400778210116,641.2571796307745,9480,1,257,ROTATING SILVER ANGELS T-LIGHT HLDR,3.3425352112676054,71300.4,2791.0,3646.0,2310.0,18.9,56.01259375202567,A — Critical,🟢 LOW RISK
20725,67.87373737373737,64.12158468698907,548,1,594,LUNCH BAG RED SPOTTY,2.0539255663430422,71106.29,279.0,754.0,2197.0,32.4,57.60770643427776,A — Critical,🟢 LOW RISK
85099F,67.26277372262774,111.96243624924581,1030,1,548,JUMBO BAG STRAWBERRY,2.2943027027027028,67985.77,487.0,958.0,2069.0,30.8,59.132817137419124,A — Critical,🟢 LOW RISK
48138,19.378846153846155,38.52172940602493,516,1,520,DOOR MAT UNION FLAG,8.034214628297361,67010.31,168.0,303.0,593.0,30.6,60.636045548332476,A — Critical,🟢 LOW RISK
23084,226.02205882352942,429.84997325788436,2647,1,136,RABBIT NIGHT LIGHT,2.386401179941003,66870.03,1871.0,3453.0,3719.0,16.5,62.13612708704835,A — Critical,🟢 LOW RISK
20685,18.25186567164179,32.126007693838,402,1,536,RED SPOTTY COIR DOORMAT,8.403582175925926,66417.47,140.0,268.0,563.0,30.9,63.62605644097889,A — Critical,🟢 LOW RISK
21137,54.15895953757225,108.00722274862373,1041,1,346,BLACK RECORD COVER FRAME,4.146305031446541,65189.29,470.0,849.0,1381.0,25.5,65.08843428724269,A — Critical,🟢 LOW RISK
21843,11.717017208413003,22.14408228755351,240,1,523,RETRO SPOT CAKE STAND,12.239633747547416,64918.299999999996,96.0,178.0,374.0,31.9,66.54473307094024,A — Critical,🟢 LOW RISK
21931,50.4006908462867,56.54739017109495,430,1,579,JUMBO STORAGE BAG SUKI,2.533375850340136,61537.55,246.0,599.0,1704.0,33.8,67.92519218981316,A — Critical,🟢 LOW RISK
22502,12.267100977198696,15.185357769503142,126,1,307,PICNIC BASKET WICKER SMALL,8.060515574650912,60880.3,66.0,152.0,471.0,38.4,69.29090735550821,A — Critical,🟢 LOW RISK
21621,13.96761133603239,27.544228927742513,411,1,494,VINTAGE UNION JACK BUNTING,9.307857689364958,60286.04,120.0,218.0,468.0,33.5,70.64329160965445,A — Critical,🟢 LOW RISK
22114,32.89295774647887,43.371406537819695,399,1,355,HOT WATER BOTTLE TEA AND SYMPATHY,4.774289292423294,59189.14,189.0,419.0,1003.0,30.5,71.97106933319473,A — Critical,🟢 LOW RISK
85099C,54.714285714285715,71.84452361682546,551,1,560,JUMBO  BAG BAROQUE BLACK WHITE,2.408958223162348,59057.61,313.0,696.0,1821.0,33.3,73.295896471476,A — Critical,🟢 LOW RISK
22910,87.89622641509433,90.81149991327233,602,1,212,PAPER CHAIN KIT VINTAGE CHRISTMAS,3.300415224913495,58652.700000000004,395.0,1011.0,1972.0,22.4,74.61164034755681,A — Critical,🟢 LOW RISK
22112,25.26255707762557,31.116920056659268,173,1,438,CHOCOLATE HOT WATER BOTTLE,5.849994269340974,57981.94,135.0,312.0,794.0,31.4,75.9123372034268,A — Critical,🟢 LOW RISK
15056N,23.76,55.88887859900976,618,1,475,EDWARDIAN PARASOL NATURAL,6.818394230769231,57975.450000000004,243.0,410.0,713.0,30.0,77.21288847047043,A — Critical,🟢 LOW RISK
22411,50.52037037037037,58.642034983652955,514,1,540,JUMBO SHOPPER VINTAGE RED PAISLEY,2.4509913988229965,57318.71,255.0,609.0,1735.0,34.3,78.49870722506063,A — Critical,🟢 LOW RISK
82484,22.445205479452056,70.98161338827495,1083,1,438,WOOD BLACK BOARD ANT WHITE FINISH,7.810832625318607,56745.73,309.0,466.0,648.0,28.9,79.77167243793635,A — Critical,🟢 LOW RISK
22470,42.016548463356976,92.75477126702432,1292,1,423,HEART OF WICKER LARGE,3.2125426278836513,53506.130000000005,404.0,698.0,1382.0,32.9,80.97196437471477,B — Important,🟡 MEDIUM RISK
22139,20.054820415879018,26.30270359303234,380,1,529,RETRO SPOT TEA SET CERAMIC 11 PC ,5.579728958630528,52843.01,114.0,255.0,724.0,36.1,82.15738067782064,B — Important,🟡 MEDIUM RISK
20914,32.92768959435626,53.748827504236395,621,1,567,SET/5 RED SPOTTY LID GLASS BOWLS,3.225493707647628,52508.560000000005,234.0,464.0,1221.0,37.1,83.33529433331856,B — Important,🟡 MEDIUM RISK
22178,71.57321428571429,106.47466039526371,1075,1,560,VICTORIAN GLASS HANGING T-LIGHT,1.5693047256925585,52382.82,463.0,964.0,2580.0,36.1,84.51038728942873,B — Important,🟡 MEDIUM RISK
21212,159.73737373737373,191.4845747788874,1540,1,594,PACK OF 72 RETRO SPOT CAKE CASES,0.7080572147123546,51825.15,833.0,1952.0,5739.0,35.9,85.67297014988478,B — Important,🟡 MEDIUM RISK
22090,30.69485294117647,45.49319147626999,601,1,544,PAPER BUNTING RETRO SPOTS,3.674023255813954,50431.9,198.0,413.0,1104.0,36.0,86.80429852153894,B — Important,🟡 MEDIUM RISK
21733,33.86319845857418,62.30624464527168,906,1,519,RED HANGING HEART T-LIGHT HOLDER,3.09675404350251,50346.490000000005,271.0,508.0,1264.0,37.3,87.93371090834576,B — Important,🟡 MEDIUM RISK
21181,59.883777239709445,82.39303777065432,737,1,413,PLEASE ONE PERSON  METAL SIGN,2.366498905908096,50117.14000000001,359.0,778.0,1922.0,32.1,89.0579783340855,B — Important,🟡 MEDIUM RISK
22111,24.01965601965602,40.551974882568416,555,1,407,SCOTTIE DOG HOT WATER BOTTLE,5.734759698899826,49771.94,176.0,345.0,782.0,32.6,90.17450195969289,B — Important,🟡 MEDIUM RISK
21929,48.96367112810707,73.52514504267782,852,1,523,JUMBO BAG PINK VINTAGE PAISLEY,2.5029736358062538,49651.99,320.0,663.0,1690.0,34.5,91.28833477178382,B — Important,🟡 MEDIUM RISK
22189,33.932914046121596,125.82572525949821,2042,1,477,CREAM HEART CARD HOLDER,4.4335582822085895,49300.94,548.0,785.0,1057.0,31.2,92.39429255190355,B — Important,🟡 MEDIUM RISK
21232,67.01410934744268,78.3475076569231,739,1,567,STRAWBERRY CERAMIC TRINKET BOX,1.5333333333333332,49300.57,341.0,810.0,2526.0,37.7,93.50024203188987,B — Important,🟡 MEDIUM RISK
84946,68.08163265306122,74.08866897300787,575,1,539,ANTIQUE SILVER TEA GLASS ETCHED,1.5324958030218243,49210.4,322.0,799.0,2547.0,37.4,94.60416874693432,B — Important,🟡 MEDIUM RISK
22469,66.92565947242207,114.77983414165435,1405,1,417,HEART OF WICKER SMALL,1.9215671981776765,48935.11,500.0,968.0,2255.0,33.7,95.70191993840278,C — Monitor,🟢 LOW RISK
48194,14.688212927756654,44.9778118191446,527,1,526,DOORMAT HEARTS,8.588780487804879,48726.56,196.0,299.0,500.0,34.0,96.79499277089786,C — Monitor,🟢 LOW RISK
21731,55.2772466539197,95.63072334546563,766,1,523,RED TOADSTOOL LED NIGHT LIGHT,2.237496782496782,48315.84,416.0,803.0,1899.0,34.4,97.87885200666537,C — Monitor,🟢 LOW RISK
22457,33.13146551724138,42.64021415371178,660,1,464,NATURAL SLATE HEART CHALKBOARD ,3.5118406993686255,47288.23,186.0,418.0,1174.0,35.4,98.93965908005161,C — Monitor,🟢 LOW RISK
15056BL,22.2576112412178,62.30704793560239,663,1,427,EDWARDIAN PARASOL BLACK,6.25234752589183,47267.450000000004,271.0,427.0,721.0,32.4,100.0,C — Monitor,🟢 LOW RISK
